"Designator","Quantity","Value","Footprint","Manufacturer","Mfr. Part No.","JLCPCB Part #"
"C1, C12",2,"10 µF","C_0805_2012Metric","Murata Electronics","GRM21BR61H106KE43L","C440198"
"C10, C2, C3, C7, C8, C9",6,"100 nF","C_0402_1005Metric","Samsung Electro-Mechanics","CL05B104KB54PNC","C307331"
"C11",1,"470 pF","C_0402_1005Metric","Murata Electronics","GCM155R72A471KA37D","C464449"
"C4, C5, C6",3,"22 µF","C_0603_1608Metric","Murata Electronics","GRT188R61A226ME13D","C126630"
"D1",1,"1N5819HW-7-F","SOD3715X145N","Diodes Incorporated","1N5819HW-7-F","C82544"
"J1, J4",2,"Screw_Terminal_01x02","TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal","Ningbo Xinlaiya Elec.","XY308-2.54-2P","C557685"
"J2, J3",2,"Conn_01x05","PinHeader_1x05_P2.54mm_Vertical","Generic","Generic",
"J5",1,"Conn_01x03","JST_EH_S3B-EH_1x03_P2.50mm_Horizontal","BOOMELE(Boom Precision Elec)","5264-3A","C146133"
"L1",1,"15 µH","INDPM102100X400N","Coilcraft","MSS1038-153MLC","C18212714"
"Q1, Q2",2,"MMBT3906LT3G","SOT96P237X111-3N","Onsemi","MMBT3906LT3G","C232602"
"R1, R10, R11, R13, R3, R4, R9",7,"10 kΩ","R_0402_1005Metric","Panasonic Electronic Components","ERA-2AEB103X","C191915"
"R6",1,"64.9 kΩ","R_0402_1005Metric","Panasonic Electronic Components","ERA-2AEB6492X","C490835"
"R7",1,"100 kΩ","R_0402_1005Metric","Panasonic Electronic Components","ERA-2AEB104X","C445619"
"R8",1,"24.9 kΩ","R_0402_1005Metric","Panasonic Electronic Components","ERA-2AEB2492X","C490822"
"U1",1,"MOUDLE-SEEEDUINO-XIAO-ESP32C3","XIAO-ESP32C3-SMD","Seeed Studio","XIAO ESP32C3",
"U3",1,"LMR38020FDDAR","SOIC127P600X170-9N","Texas Instruments","LMR38020FDDAR","C5149193"
"U4",1,"SN74LVC1G126DBVR","SOT95P280X145-5N","Texas Instruments","SN74LVC1G126DBVR","C7834"
"U5",1,"SN74LVC1G125DCKR","SOT65P210X110-5N","Texas Instruments","SN74LVC1G125DCKR","C7833"
